corp_code,bsns_year,rcept_no,status,n_fields_found,composite_current,composite_original,is_flagged_original,original_accounts_json,top_contributors_original
00126201,2025,20260319001154,정상,11,5.289709307627658,5.070285951107087,1,"{""revenue"": 117736352607.0, ""cogs"": 103294223383.0, ""operating_income"": 3245098937.0, ""sga"": null, ""interest_expense"": 4712533276.0, ""net_income"": 7239547064.0, ""trade_receivables"": 14310311434.0, ""inventory"": 14068571191.0, ""total_assets"": 334084121584.0, ""total_liabilities"": 39214036160.0, ""total_equity"": 294870085424.0, ""operating_cf"": 15381753261.0}","[[""interest_coverage"", -14.418619777638968], [""operating_margin"", -0.4010289454629996], [""debt_ratio"", -0.3912091302192929]]"
00140052,2024,20250305000056,정상,12,5.8560676558939155,5.885315266904702,1,"{""revenue"": 325991852047.0, ""cogs"": 115967135847.0, ""operating_income"": 66235236205.0, ""sga"": 143789479995.0, ""interest_expense"": 948158965.0, ""net_income"": 65909216013.0, ""trade_receivables"": 22773930623.0, ""inventory"": 28708370577.0, ""total_assets"": 782444291372.0, ""total_liabilities"": 75722970626.0, ""total_equity"": 706721320746.0, ""operating_cf"": 75128613349.0}","[[""interest_coverage"", 15.290358144707069], [""gp_margin"", 1.2076959972028176], [""receivables_turnover"", 1.157891658804222]]"
00141671,2022,20230321001549,정상,11,5.065663883827644,5.065663883827644,1,"{""revenue"": 190089490987.0, ""cogs"": 120050278552.0, ""operating_income"": 14174513859.0, ""sga"": 55864698576.0, ""interest_expense"": 119979809.0, ""net_income"": 12286184879.0, ""trade_receivables"": 25452433410.0, ""inventory"": null, ""total_assets"": 214448418993.0, ""total_liabilities"": 107886928424.0, ""total_equity"": 106561490569.0, ""operating_cf"": 19183817636.0}","[[""interest_coverage"", 14.47256232908581], [""receivables_turnover"", 0.4409298406134989], [""gp_margin"", 0.28349948178362466]]"
00145437,2023,20240320001843,정상,12,4.721732881313318,4.536043673631475,0,"{""revenue"": 6883461279.0, ""cogs"": 7311840133.0, ""operating_income"": -10352386041.0, ""sga"": 9924007187.0, ""interest_expense"": 6426410192.0, ""net_income"": -25921087032.0, ""trade_receivables"": 1840766520.0, ""inventory"": 0.0, ""total_assets"": 48534629654.0, ""total_liabilities"": 22163675992.0, ""total_equity"": 26370953662.0, ""operating_cf"": -10679620576.0}","[[""sga_ratio"", 6.244742467543839], [""operating_margin"", -4.9392892018718575], [""total_accruals_ratio"", -2.4240993514787297]]"
00147222,2025,20260319000974,정상,12,7.309464110070571,7.391735116512947,1,"{""revenue"": 40776455996.0, ""cogs"": 43860825343.0, ""operating_income"": -7314924674.0, ""sga"": 4230555327.0, ""interest_expense"": 89673419.0, ""net_income"": 29808576772.0, ""trade_receivables"": 4697051000.0, ""inventory"": 35813132528.0, ""total_assets"": 237363693514.0, ""total_liabilities"": 9867204035.0, ""total_equity"": 227496489479.0, ""operating_cf"": -8523380535.0}","[[""interest_coverage"", -18.536462880422157], [""total_accruals_ratio"", 2.4625310089510712], [""operating_margin"", -1.1762114601656097]]"
00153861,2023,20240320001781,정상,12,5.991863585322605,4.442667405198249,0,"{""revenue"": 3371117789921.0, ""cogs"": 3077727858267.0, ""operating_income"": -45110972558.0, ""sga"": 338500904212.0, ""interest_expense"": 199664307209.0, ""net_income"": -1579398502150.0, ""trade_receivables"": 913312660363.0, ""inventory"": 626865718176.0, ""total_assets"": 5281235960259.0, ""total_liabilities"": 5842979816295.0, ""total_equity"": -561743856036.0, ""operating_cf"": -328470854522.0}","[[""debt_ratio"", -8.70156147460399], [""total_accruals_ratio"", -3.231058113408697], [""sga_ratio"", 1.395382627582061]]"
00155586,2025,20260313000003,정상,12,5.239659948377324,5.2553542486295495,1,"{""revenue"": 32263951723.0, ""cogs"": 27914222605.0, ""operating_income"": -37551092502.0, ""sga"": 41900821620.0, ""interest_expense"": 3028639374.0, ""net_income"": -33653431304.0, ""trade_receivables"": 4965344377.0, ""inventory"": 8602933781.0, ""total_assets"": 268750045052.0, ""total_liabilities"": 47429788100.0, ""total_equity"": 221320256952.0, ""operating_cf"": -30082499698.0}","[[""operating_margin"", -7.96754871376575], [""sga_ratio"", 5.450448299316086], [""interest_coverage"", -2.3480657328068117]]"
00156691,2025,20260318001058,정상,12,7.129968121301673,7.129968121301673,1,"{""revenue"": 663192785932.0, ""cogs"": 578831297651.0, ""operating_income"": 47014830454.0, ""sga"": 37346657827.0, ""interest_expense"": 862508384.0, ""net_income"": 40545958975.0, ""trade_receivables"": 81246320850.0, ""inventory"": 9285076824.0, ""total_assets"": 529463499338.0, ""total_liabilities"": 124307050696.0, ""total_equity"": 405156448642.0, ""operating_cf"": 19856309761.0}","[[""interest_coverage"", 17.236050054364558], [""oi_cfo_gap_ratio"", 2.1069841962918603], [""total_accruals_ratio"", 2.046870113248601]]"
00156956,2021,20220321000571,정상,10,33.490124120831446,33.490124120831446,1,"{""revenue"": 104519672283.0, ""cogs"": null, ""operating_income"": 36219070401.0, ""sga"": 68300601882.0, ""interest_expense"": 26628154.0, ""net_income"": 26749657899.0, ""trade_receivables"": 7801358978.0, ""inventory"": null, ""total_assets"": 161338066780.0, ""total_liabilities"": 40736021846.0, ""total_equity"": 120602044934.0, ""operating_cf"": 33586176333.0}","[[""interest_coverage"", 98.09929331272143], [""sga_ratio"", 1.4664521924639249], [""debt_ratio"", -0.9046268573089877]]"
00159193,2022,20230320001084,정상,12,9.293088145563036,9.293088145563036,1,"{""revenue"": 71257863000000.0, ""cogs"": 100903594000000.0, ""operating_income"": -32655153000000.0, ""sga"": 3009422000000.0, ""interest_expense"": 4746791000000.0, ""net_income"": -24429108000000.0, ""trade_receivables"": 10461822000000.0, ""inventory"": 9930732000000.0, ""total_assets"": 234804994000000.0, ""total_liabilities"": 192804738000000.0, ""total_equity"": 42000256000000.0, ""operating_cf"": -23477500000000.0}","[[""operating_margin"", -16.706912443066074], [""gp_margin"", -7.983313193810667], [""interest_coverage"", -3.1890387998123697]]"
